### Module positions - created on 09/16/18 16:03:38 ###
### Printed by Pcbnew version kicad (5.0.0)
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val              Package                            PosX       PosY       Rot  Side
C1        1n               C_0402                          42.9500     8.2750  180.0000  top
C2        0u1              C_0402                          42.9500     7.2500  180.0000  top
C3        1n               C_0402                          35.1000    11.2000    0.0000  top
C4        0u1              C_0402                          35.1000    10.2500    0.0000  top
C5        1n               C_0402                          46.0750    10.9000  180.0000  top
C6        0u1              C_0402                          46.0750     9.9500  180.0000  top
C7        1n               C_0402                          35.1000     9.3000    0.0000  top
C8        0u1              C_0402                          35.1000     8.3500    0.0000  top
C9        10p              C_0402                          51.1250    13.4000  225.0000  top
C10       10p              C_0402                          44.6500    17.0250  225.0000  top
C11       2u2              C_0603                          40.8500    18.3000  270.0000  top
C12       1n               C_0402                          39.7750    18.3000  270.0000  top
C13       1u               C_0402                          38.8250    18.3000  270.0000  top
C14       1n               C_0402                          35.8700    14.8000  270.0000  top
C15       10p              C_0402                          34.7300    14.8000  270.0000  top
C17       0u1              C_0402                          15.9300     2.4900  180.0000  top
C18       47u              C1210P                          24.9500    26.4000  270.0000  top
C19       100p             C_0603                           6.2250    14.8250    0.0000  top
C20       4.7u             C_0603                          22.3000    27.6000  270.0000  top
C21       2u2              C_0603                          31.0000    26.4500  270.0000  top
C22       10u              C_0805                          19.7000    24.8000  180.0000  top
C23       100p             C_0603                          22.3250     9.2250  180.0000  top
C24       100p             C_0603                          21.7250    11.7750  180.0000  top
C25       100p             C_0603                          23.0500    17.8000    0.0000  top
C31       0u1              C_0402                          13.1000    16.4000  270.0000  top
C35       0u1              C_0402                          21.6000    15.0500   90.0000  top
C39       0u1              C_0402                          51.6250     6.3750  180.0000  top
C40       2u2              C_0603                          44.3250    22.0500  180.0000  top
C41       15n              C_0402                          46.3000    22.6000  270.0000  top
C42       2u2              C_0603                          52.7000    21.0000    0.0000  top
C43       0u1              C_0402                          50.3500    18.2500  270.0000  top
C47       2u2              C_0603                          53.0000    15.1000   90.0000  top
C53       7p               C_0402                          17.6750     9.7750   90.0000  top
C56       14p              C_0402                          18.2750    12.7250  270.0000  top
C58       20p              C_0402                          19.5500    19.8500   90.0000  top
C59       8.2p             C_0402                          15.0250    10.1750  270.0000  top
C60       15p              C_0402                          16.3750    13.8250  270.0000  top
C61       24p              C_0603                          16.9500    20.8500    0.0000  top
C62       7p               C_0402                          11.1250    10.1750  270.0000  top
C63       14p              C_0402                          13.4250    13.8250  270.0000  top
C66       20p              C_0402                          12.9500    23.2500   90.0000  top
C67       100p             C_0603                           8.4750    12.8750  270.0000  top
C68       100p             C_0603                          10.8250    13.6250  270.0000  top
C70       100p             C_0603                          10.3750    20.7000  270.0000  top
C71       100p             C_0603                          33.6500    13.0000  180.0000  top
